Name	Media ref	Defined	Minimal	Type	Compounds (compound_id;minFlux;maxFlux;concentration)
Nitrogen-L-Valine	262/105/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00156;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-Uracil	262/106/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00092;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-L-Isoleucine	262/111/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00322;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-Ala-Leu	262/112/1	1	1	biolog	cpd00027;-100;5;0.001	cpd11583;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-L-Alanine	262/123/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00035;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-Urea	262/128/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00073;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-L-Cysteine	262/132/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00084;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-g-Amino-N-Butyric-Acid	262/144/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00281;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-D-Lysine	262/153/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00549;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
Nitrogen-N-Acetyl-D-Glucosamine	262/155/1	1	1	biolog	cpd00027;-100;5;0.001	cpd00122;-100;5;0.001	cpd00009;-100;5;0.001	cpd00048;-100;5;0.001	cpd00063;-100;100;0.001	cpd00011;-100;0;0.001	cpd10516;-100;100;0.001	cpd00067;-100;100;0.001	cpd00001;-100;100;0.001	cpd00205;-100;100;0.001	cpd00254;-100;100;0.001	cpd00971;-100;100;0.001	cpd00007;-100;100;0.001	cpd00099;-100;100;0.001	cpd00058;-100;100;0.001	cpd00149;-100;100;0.001	cpd00030;-100;100;0.001	cpd00034;-100;100;0.001	cpd10515;-100;100;0.001	
